trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100622,399300.SZ,20100622,2783.72,2772.886,2795.323,2766.443,2780.663,3.057,0.1099,39096052.0,45207207.792
20100623,399300.SZ,20100623,2758.495,2768.695,2788.219,2734.047,2783.72,-25.225,-0.9062,35600350.0,41600240.721
20100624,399300.SZ,20100624,2757.498,2753.712,2783.508,2739.807,2758.495,-0.997,-0.0361,29220682.0,33772857.04
20100625,399300.SZ,20100625,2736.287,2744.122,2759.445,2715.655,2757.498,-21.211,-0.7692,30671782.0,34649179.151
20100628,399300.SZ,20100628,2716.777,2734.507,2751.455,2710.087,2736.287,-19.51,-0.713,27710044.0,31198277.084
20100629,399300.SZ,20100629,2592.019,2717.465,2724.231,2591.694,2716.777,-124.758,-4.5921,48758552.0,50635969.685
20100630,399300.SZ,20100630,2563.07,2572.912,2575.824,2546.843,2592.019,-28.949,-1.1169,35698794.0,35809892.277
20100701,399300.SZ,20100701,2526.071,2557.92,2574.098,2524.573,2563.07,-36.999,-1.4435,32857646.0,32478457.404
20100702,399300.SZ,20100702,2534.105,2523.035,2542.122,2462.202,2526.071,8.034,0.318,44914100.0,43367318.435
20100705,399300.SZ,20100705,2512.651,2507.354,2529.425,2476.49,2534.105,-21.454,-0.8466,32178574.0,30922298.985
20100706,399300.SZ,20100706,2562.902,2504.869,2563.411,2502.931,2512.651,50.251,1.9999,39714762.0,38976836.519
20100707,399300.SZ,20100707,2580.477,2561.106,2580.608,2548.559,2562.902,17.575,0.6857,35720909.0,37059898.462
20100708,399300.SZ,20100708,2575.921,2591.509,2602.23,2564.638,2580.477,-4.556,-0.1766,34056966.0,35348760.455
20100709,399300.SZ,20100709,2647.104,2578.555,2662.163,2557.259,2575.921,71.183,2.7634,58493045.0,61470066.938
20100712,399300.SZ,20100712,2676.218,2647.421,2689.809,2636.648,2647.104,29.114,1.0998,58462491.0,63462262.47
20100713,399300.SZ,20100713,2634.593,2649.658,2649.658,2618.34,2676.218,-41.625,-1.5554,43228506.0,45125109.071
20100714,399300.SZ,20100714,2653.609,2640.925,2684.616,2640.542,2634.593,19.016,0.7218,46688860.0,49497106.67
20100715,399300.SZ,20100715,2608.519,2650.334,2680.442,2607.788,2653.609,-45.09,-1.6992,40440459.0,41444710.868
